Total cycle count,Time,Extension,Load
,(s),(mm),(N)
"0.00000","0.00000","0.00001","3.29132"
"0.00000","0.00500","0.00016","3.36736"
"0.00000","0.01000","0.00094","3.57762"
"0.00000","0.01500","0.00324","3.94886"
"0.00000","0.02000","0.00814","4.49616"
"0.00000","0.02500","0.01646","5.12434"
"0.00000","0.03000","0.02830","5.86125"
"0.00000","0.03500","0.04316","6.72880"
"0.00000","0.04000","0.06039","7.74043"
"0.00000","0.04500","0.07947","8.87009"
"0.00000","0.05000","0.10004","10.07340"
"0.00000","0.05500","0.12188","11.35317"
"0.00000","0.06000","0.14482","12.67790"
"0.00000","0.06500","0.16875","14.05568"
"0.00000","0.07000","0.19349","15.47658"
"0.00000","0.07500","0.21890","16.90726"
"0.00000","0.08000","0.24480","18.36129"
"0.00000","0.08500","0.27101","19.81068"
"0.00000","0.09000","0.29737","21.25118"
"0.00000","0.09500","0.32376","22.68296"
"0.00000","0.10000","0.35009","24.08948"
"0.00000","0.10500","0.37628","25.49212"
"0.00000","0.11000","0.40231","26.89801"
"0.00000","0.11500","0.42816","28.30309"
"0.00000","0.12000","0.45385","29.73225"
"0.00000","0.12500","0.47940","31.16749"
"0.00000","0.13000","0.50484","32.60569"
"0.00000","0.13500","0.53019","34.03586"
"0.00000","0.14000","0.55547","35.44421"
"0.00000","0.14500","0.58069","36.85014"
"0.00000","0.15000","0.60586","38.23316"
"0.00000","0.15500","0.63099","39.59669"
"0.00000","0.16000","0.65611","40.94741"
"0.00000","0.16500","0.68121","42.26870"
"0.00000","0.17000","0.70631","43.58007"
"0.00000","0.17500","0.73140","44.87031"
"0.00000","0.18000","0.75649","46.15030"
"0.00000","0.18500","0.78158","47.43481"
"0.00000","0.19000","0.80666","48.70461"
"0.00000","0.19500","0.83174","49.97635"
"0.00000","0.20000","0.85681","51.24718"
"0.00000","0.20500","0.88188","52.51687"
"0.00000","0.21000","0.90693","53.78984"
"0.00000","0.21500","0.93197","55.05049"
"0.00000","0.22000","0.95701","56.31241"
"0.00000","0.22500","0.98205","57.56516"
"0.00000","0.23000","1.00709","58.80716"
"0.00000","0.23500","1.03214","60.04492"
"0.00000","0.24000","1.05720","61.26531"
"0.00000","0.24500","1.08226","62.47884"
"0.00000","0.25000","1.10730","63.68552"
"0.00000","0.25500","1.13234","64.88777"
"0.00000","0.26000","1.15737","66.09053"
"0.00000","0.26500","1.18239","67.28876"
"0.00000","0.27000","1.20741","68.49390"
"0.00000","0.27500","1.23242","69.69358"
"0.00000","0.28000","1.25742","70.88835"
"0.00000","0.28500","1.28243","72.08331"
"0.00000","0.29000","1.30744","73.26221"
"0.00000","0.29500","1.33244","74.43388"
"0.00000","0.30000","1.35744","75.59070"
"0.00000","0.30500","1.38243","76.73761"
"0.00000","0.31000","1.40742","77.87164"
